County,Office,Candidate,Party,District,Votes
,Mayor,Angie Nelson Deuitch,Democratic,MICHIGAN CITY,2887
,Mayor,Anthony Copeland,Democratic,East Chicago,1346
,Mayor,Bill Carroll,Democratic,Lake Station,819
,Mayor,BRANDON C. SAKBUN,Democratic,TERRE HAUTE,5666
,Mayor,Brent A Murray,Democratic,Linton,378
,Mayor,Brian Cox,Democratic,GREENCASTLE,641
,Mayor,Brian L Wyndham,Democratic,Brazil,138
,Mayor,Cathy Gross,Democratic,MONTICELLO,460
,Mayor,Charles R Wyatt,Democratic,CITY OF BOONVILLE,881
,Mayor,Chris Cail,Democratic,Tell City,1095
,Mayor,Dan Dattilo,Democratic,MADISON,1079
,Mayor,Daniel L Rickord,Democratic,DECATUR,1157
,Mayor,Dave Kitchell,Democratic,Logansport,900
,Mayor,Dave Snow,Democratic,RICHMOND,2078
,Mayor,David E Rhoads,Democratic,WASHINGTON,985
,Mayor,Deborah Whitfield,Democratic,LAWRENCE,5123
,Mayor,Dennis Estok,Democratic,Knox,488
,Mayor,Dustin M George,Democratic,Hartford City,542
,Mayor,Eddie  Melton,Democratic,Gary,6376
,Mayor,Erin R. Easter,Democratic,WEST LAFAYETTE,2628
,Mayor,Eugene "Pud" Terrell,Democratic,MITCHELL,191
,Mayor,Gina Leichty,Democratic,GOSHEN,3099
,Mayor,Greg McAdams,Democratic,LAWRENCEBURG,459
,Mayor,Greg York,Democratic,NEW CASTLE,1615
,Mayor,Hannah Trueblood,Democratic,VALPARAISO,2891
,Mayor,Jack Gilfoy Jr.,Democratic,CLINTON CITY,481
,Mayor,Jack L Robbins,Democratic,Dunkirk,171
,Mayor,JAMES MUELLER,Democratic,SOUTH BEND,7878
,Mayor,James W. Coffman,Democratic,BEECH GROVE,1562
,Mayor,JEFF GAHAN,Democratic,NEW ALBANY,3721
,Mayor,Jeff Robinson,Democratic,MUNCIE,4200
,Mayor,Jess Alumbaugh,Democratic,Marion,1324
